DID,Title,Disruption_Category,Disruption_Sub_Category,Start,End,Geographic_Scope,Industries Affected,Industries Affected.1,Industries Affected.2,Impact_Loss_$B,Disruption_Duration_Months,Disruption_Cost_Per_Month,Severity,Cascading_Impact 1,Cascading_Impact 2,Cascading_Impact 3,Primary_Supply_Chain_Node,Disrupted_KPI 1,Disrupted_KPI 2,Disrupted_KPI 3,Response_Adaptation_Strategy,Intrinsic_Challenge 1,Intrinsic_Challenge 2,Intrinsic_Challenge 3,Intrinsic_Challenge 4,Resilience_Dimension,Tech_Enabler,Tech_Enabler.1,Blockchain_Solution,AI_Solution,Cascade_Pattern,Early_Warning_Signals,Resilience_Strategy (Agentic AI + Blockchain),Primary_Intrinsic_Challenge,Primary_KPIs_Affected,Reference
55,2021 Suez Canal Blockage (Ever Given),Infrastructure,Blockage,2021,2021,Global via Egypt,Maritime,Global Trade,,57.6,0.2,288,3,Global shipping delays,,,Maritime; Trade,On-time delivery,Freight costs,,Route redundancy; satellite tracking,Risk Assessment & Prediction,Infrastructure Resilience,,,Route Resilience,Real-time maritime tracking,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Lloyd's List; Forbes
56,Australian Floods-Coal Export Bottleneck,Natural Disaster,Disaster,2022,2022,Australia; Asia,Energy,Trade,,10,2,5,2,Rail flooding,export delays,,Rail; Ports,Throughput,Export volume,,Emergency railworks; stockpiles,Infrastructure Resilience,Coordination & Collaboration,,,Energy Resilience,Automated flood detection sensors,IOT,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",Industry reports
57,Ukraine-Russia War,Geopolitical,Conflict,2022,2024,Europe; Global,Energy,Agriculture,Manufacturing,1500,24,62.5,5,Energy shortages,trade rerouting,,Energy; Transportation,Fuel supply,Food security,,Sanctions; reserves,Risk Assessment & Prediction,Supply Chain Transparency,,,Strategic Flexibility,Blockchain energy networks,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,Forecast error spikes | Lead-time variance increase | Service-level dips,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",UN; WHO
58,Canadian Wildfires Air Cargo Disruption,Natural Disaster,Disaster,2023,2023,Canada; Global,Agriculture,E-commerce,,5,1,5,2,Smoke,flight diversions,,Air Cargo; Logistics,Transit time,Throughput,,Route adjustments; warehousing,Real-Time Monitoring & Response,Supply Chain Transparency,,,Operational Continuity,IoT environmental sensors,IoT,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",Airline reports
59,Red Sea Crisis,Geopolitical,Route Disruption,2023,2024,Global,Maritime,Trade,,650,12,54.16666667,3,Route disruptions,,,Maritime; Logistics,Transit time,Freight rates,,Naval escorts; alt routing,Real-Time Monitoring & Response,Coordination & Collaboration,,,Route Resilience,AI route optimization,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,Forecast error spikes | Lead-time variance increase | Service-level dips,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",Shipping agencies
60,E-commerce Surge & Demand Velocity Shifts,Technology,Demand Velocity Shift,2020,2024,Global,#REF!,,,180,48,3.75,3,#REF!,,Inventory Imbalances,Distribution Centers; Last-Mile Delivery,Order velocity,Fulfillment speed,Inventory turnover,Micro-fulfillment centers; dynamic inventory allocation; AI demand forecasting,Velocity Prediction & Adaptation,Real-Time Inventory Optimization,Complexity & Interdependence,Last-Mile Network Scalability,Velocity Resilience,AI demand velocity prediction; Real-time inventory optimization,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Velocity Prediction & Adaptation,['Forecast Error (MAPE)'],McKinsey; Deloitte Consumer Studies
61,Omnichannel Demand Volume Volatility,Social,Volume Volatility,2020,2024,Global,Retail,Manufacturing,Logistics,120,48,2.5,3,Channel inventory mismatch,production planning disruption,supplier bullwhip effect,Manufacturing; Retail Distribution,Demand volume variance,Channel fill rates,Production utilization,Unified inventory pools; flexible manufacturing; demand sensing,Multi-Channel Demand Integration,Volume Forecasting Accuracy,Supply Chain Transparency,Coordination & Collaboration,Volume Resilience,Multi-agent demand sensing; Blockchain inventory sharing,AI/Agentic AI,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Multi-Channel Demand Integration,"['OTIF', 'Forecast Error (MAPE)']",BCG; Accenture Retail Studies
62,Contactless Commerce Acceleration,Technology,Service Delivery Shift,2020,2023,Global,Retail,Payment Processing,Logistics,85,36,2.36,2,Store closure impact,delivery service expansion,payment system overhaul,Retail Points; Payment Systems; Delivery Networks,Service delivery speed,Payment processing capacity,Customer touchpoint efficiency,Contactless infrastructure; automated delivery; digital payment integration,Service Velocity Adaptation,Infrastructure Resilience,Trust & Data Integrity,Customer Experience Continuity,Service Resilience,IoT contactless systems; Blockchain payment verification,IoT,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Service Velocity Adaptation,"['OTIF', 'Forecast Error (MAPE)']",PwC Digital Commerce Reports
63,Work-from-Home Supply Chain Reconfiguration,Technology,B2B Demand Shift,2020,2024,Global,IT Equipment,Food Service,Commercial Real Estate,95,48,1.98,3,Commercial demand collapse,residential demand surge,supply chain rebalancing,B2B Distribution; Residential Delivery,B2B order volumes,Residential fulfillment rates,Supply allocation efficiency,B2C channel expansion; residential delivery infrastructure; demand reallocation,Channel Rebalancing,Demand Pattern Recognition,Supply Allocation Optimization,Capacity Resilience,Channel Resilience,AI channel optimization; Digital twin demand modeling,AI/Agentic AI,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Channel Rebalancing,"['OTIF', 'Forecast Error (MAPE)']",EY Future of Work Studies
64,Health-Conscious Consumer Product Shifts,Social,Product Category Shift,2020,2024,Global,Food & Beverage,Personal Care,Healthcare,75,48,1.56,2,Product mix disruption,supplier portfolio changes,manufacturing line reconfigurations,Manufacturing; Product Development; Sourcing,Product mix optimization,Supplier performance,Time-to-market,Product portfolio diversification; agile manufacturing; supplier network expansion,Product Demand Prediction,Supplier Network Agility,Manufacturing Flexibility,Continuous Learning & Adaptation,Product Resilience,AI product trend analysis; Blockchain supplier verification,AI/Agentic AI,0,1,Single-Point Supplier Failure → Component shortage → Assembly line idle → Order cancellations → Market share loss,Credit risk score fall | Non-conformance spikes | Supplier OTIF drop,"Tier-n visibility graph on-chain; agentic scoring of sole-source risk | Pre-approved alternates & automated qualification via verifiable credentials | Design-for-substitutability playbooks encoded in smart contracts | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Product Demand Prediction,['Forecast Error (MAPE)'],Nielsen Consumer Studies; Mintel Reports
65,Subscription Economy Demand Patterns,Social,Revenue Model Shift,2020,2024,Global,Consumer Goods,Software,Food Delivery,60,48,1.25,2,Predictable demand creation,inventory optimization challenges,customer lifecycle complexity,Inventory Planning; Customer Fulfillment; Revenue Management,Subscription fulfillment rate,Inventory holding costs,Customer retention rates,Subscription-based inventory planning; predictive analytics; customer lifecycle optimization,Subscription Demand Modeling,Inventory Right-Sizing,Customer Churn Prediction,Economic Impact Optimization,Revenue Model Resilience,AI subscription analytics; Predictive customer modeling,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Subscription Demand Modeling,"['OTIF', 'Forecast Error (MAPE)']",Subscription Economy Reports; Zuora Studies
66,Sustainability-Driven Purchase Behavior,Social,Values-Based Consumption,2020,2024,Global,Manufacturing,Retail,Packaging,110,48,2.29,3,Supply chain transparency demands,sustainable sourcing requirements,packaging redesign,Sourcing; Manufacturing; Packaging; Transportation,Carbon footprint,Ethical sourcing compliance,Sustainable packaging adoption,Sustainable sourcing networks; carbon tracking; transparent supply chains,Sustainability Verification,Carbon Footprint Tracking,Ethical Sourcing Validation,Supply Chain Transparency,Sustainability Resilience,Blockchain sustainability tracking; AI carbon optimization,Blockchain,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Sustainability Verification,"['OTIF', 'Forecast Error (MAPE)']",Deloitte Sustainability Studies; BCG Green Consumer Reports
67,Supply Chain Visibility Expectations,Technology,Transparency Demand,2020,2024,Global,All Industries,Logistics,Technology,90,48,1.875,3,Real-time tracking requirements,data integration complexity,supplier transparency obligations,Information Systems; Supplier Networks; Customer Interface,Visibility accuracy,Data integration time,Customer satisfaction with transparency,End-to-end visibility platforms; supplier data integration; real-time customer updates,Supply Chain Transparency,Data Integration Complexity,Real-Time Monitoring & Response,Trust & Data Integrity,Information Resilience,Blockchain supply chain tracking; AI data integration,Blockchain,1,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",Supply Chain Dive; Gartner Transparency Studies
68,Instant Gratification Economy,Social,Delivery Speed Expectations,2020,2024,Global,E-commerce,Delivery,Logistics,145,48,3.02,3,Same-day delivery pressure,inventory positioning complexity,logistics cost escalation,Last-Mile Delivery; Local Fulfillment; Inventory Positioning,Delivery speed,Cost per delivery,Inventory positioning efficiency,Hyperlocal fulfillment; predictive inventory positioning; autonomous delivery,Velocity Optimization,Real-Time Monitoring & Response,,,Speed Resilience,AI delivery optimization; IoT inventory tracking,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Velocity Optimization,"['OTIF', 'Forecast Error (MAPE)']",Amazon Prime Studies; Last-Mile Analytics
